Subject;Start Date;Start Time;End Date;End Time;All Day Event;Description;Location;Private
Besuchsmorgen für Eltern von Schülerinnen und Schülern aller Klassen des Gymnasiums und der Fachmittelschule gemäss separatem Programm; 19/09/2022;09:45; 19/09/2022;12:20; FALSE;;;FALSE
Schulreisen der 1. und 2. Klassen des Untergymnasiums sowie der 4. Klassen der Fachmittelschule (Verschiebedatum 28. September); 21/09/2022 ;; 21/09/2022 ;;TRUE;;;FALSE
Instrumentalschülerinnen und -schüler-Konzert - ; 27/09/2022 ;18:00; 27/09/2022 ;19:00;FALSE;;  Aula ;FALSE
Eröffnungsveranstaltung YES-Unternehmen ; 28/09/2022 ;18:00; 28/09/2022 ;22:00;FALSE;; Aula	;FALSE
Joker-Sperrtage;03/10/2022;;07/10/2022;;TRUE;; 	Spezialwoche gemäss separatem Programm;FALSE
Herbstferien;10/10/2022;;22/10/2022 ;;TRUE;;	;FALSE
Orientierungsabend für das Kurzgymnasium mit Anschluss an die Sekundarschule für zukünftige Schülerinnen und Schüler, für deren Eltern und für Sekundarlehrpersonen, Fachvorstände der SPF sind eingeladen ;09/11/2022;19:00;09/11/2022;20:00;FALSE;; Aula ;FALSE
Orientierungsabend für die Fachmittelschule mit Anschluss an die 3. Klasse der Sekundarschule für zukünftige Schülerinnen und Schüler  deren Eltern und die Sekundarlehrpersonen;10/11/2022;19:00;10/11/2022;20:00;FALSE;;Aula ;FALSE
Orientierungsabend für das Langgymnasium mit Anschluss an die 6. Klasse der Primarschule, Veranstaltung für zukünftige Schülerinnen und Schüler, deren Eltern und Primarlehrpersonen; 14/11/2022 ;19:00; 14/11/2022 ;20:30;FALSE;; Aula;FALSE
Orientierungsabend für das Langgymnasium mit Anschluss an die 6. Klasse der Primarschule, Veranstaltung für zukünftige Schülerinnen und Schüler, deren Eltern und Primarlehrpersonen; 15/11/2022 ;19:00; 15/11/2022 ;20:30;FALSE;; Aula ;FALSE
Orientierungsabend für das Langgymnasium mit Anschluss an die 6. Klasse der Primarschule, Veranstaltung für zukünftige Schülerinnen und Schüler, deren Eltern und Primarlehrpersonen; 16/11/2022 ;19:00; 16/11/2022 ;20:30;FALSE;; Aula ;FALSE
Instrumentalschülerinnen und -schüler-Konzert; 21/11/2022 ;18:00; 21/11/2022 ;19:00;FALSE;; Aula ;FALSE
Elternabend der Klassen F5aG, F5bG, F5jG und F5kG gemäss separatem Programm; 22/11/2022 ;19:00; 22/11/2022 ;20:30;FALSE;; Gemeinsamer Beginn im Aula, danach Aufteilung ins W 301, W 306 un d W 308;FALSE
Elternabend der Klassen F5cK, F5dK und F5eK gemäss separatem Programm; 23/11/2022 ;19:00; 23/11/2022 ;20:30;FALSE;; Gemeinsamer Beginn im Auditorium, danach Aufteilung in 3 Unterrich tszimmer im 4. OG im C-Trakt;FALSE
Elternabend der Klassen F5fP, F5gP und F5hP gemäss separatem Programm; 24/11/2022 ;19:00; 24/11/2022 ;20:30;FALSE;; Gemeinsamer Beginn im Auditorium, danach Aufteilung in 3 Unterrich tszimmer im 4. OG im C-Trakt;FALSE
Weihnachtskonzert;06/12/2022;19:30;06/12/2022;21:00;FALSE;; Pauluskirche;FALSE
Elternabend zur Profilwahl der 2. Klassen des Untergymnasiums unter Anwesenheit der Fachvorstehenden der Schwerpunktfächer und weiterer Lehrpersonen;07/12/2022;19:00;07/12/2022;20:30;FALSE;; Aula;FALSE
Weihnachtsferien; 26/12/2022; ;07/01/2023;;TRUE;; ;FALSE
Öffnung der Internetanmeldung für die Zentrale Aufnahmeprüfung 2023;01/01/2023; ;10/02/2023;;TRUE;; Internet;FALSE
1. Elternabend Suchtprävention der 2. Klassen des Untergymnasiums;07/02/2023;19:30;07/02/2023;21:30;FALSE;; Aula ;FALSE
2. Elternabend Suchtprävention der 2. Klassen des Untergymnasiums;08/02/2023;19:30;08/02/2023;21:30;FALSE;; Aula ;FALSE
Ablauf der Anmeldefrist für die Zentrale Aufnahmeprüfung (ZAP) für Gymnasium und Fachmittelschule;10/02/2023; ;10/02/2023;;TRUE;; Internet;FALSE
Ergänzungsprüfung Passerelle «Berufsmaturität/Fachmaturität – universitäre Hochschulen» der Schweizerischen Maturitätskommission; 13/02/2023;; 22/02/2023 ;;TRUE;;;FALSE
Sportferien; 13/02/2023; ; 25/02/2023;;TRUE;; ;FALSE
Zentrale Aufnahmeprüfung (ZAP) 2023: Schriftliche Prüfungen für das Langgymnasium und das Kurzgymnasium. Der Unterricht ist eingestellt;06/03/2023; ;06/03/2023;;TRUE;; ;FALSE
Zentrale Aufnahmeprüfung (ZAP) 2023: Schriftliche Prüfungen für die Fachmittelschule;08/03/2023; ;08/03/2023;;TRUE;; Zimmer werden bekanntgegeben;FALSE
Unterrichtsschluss vor Karfreitag um 16.00 Uhr;06/04/2023; ;06/04/2023;;TRUE;; ;FALSE
Ostern, schulfrei;07/04/2023; ;10/04/2023;;TRUE;; ;FALSE
Sechseläuten, schulfrei; 17/04/2023; ; 17/04/2023;;TRUE;; ;FALSE
Frühlingsferien; 24/04/2023; ;06/05/2023;;TRUE;; ;FALSE
Unterrichtsschluss vor Auffahrt um 16.00 Uhr; 17/05/2023; ; 17/05/2023;;TRUE;; ;FALSE
Auffahrtsbrücke, schulfrei; 18/05/2023; ;20/05/2023;;TRUE;; ;FALSE
Aufführung der Musikwerkstatt; 23/05/2023;19:30; 23/05/2023;21:00;FALSE;; ;FALSE
Aufführung der Musikwerkstatt; 25/05/2023;19:30; 25/05/2023;21:00;FALSE;; Aula ;FALSE
Pfingsten, schulfrei; 27/05/2023; ;29/05/2023 ;;TRUE;; ;FALSE
Schlussveranstaltung YES-Unternehmen; 30/05/2023 ;18:00; 30/05/2023 ;22:00;FALSE;; Aula ;FALSE
Hauswirtschaftskurse aller 2. Klassen, kein Unterricht an der KZN;05/06/2023; ;23/06/2023 ;;TRUE;; extern ;FALSE
Fachmaturitätsfeier für alle Profile;08/06/2023;15:30;08/06/2023;17:30;FALSE;; Aula ;FALSE
Sommerferien; 17/07/2023; ;19/08/2023;;TRUE;; ;FALSE
Knabenschiessen, die Klassen des Untergymnasiums haben den ganzen Tag schulfrei, alle übrigen Klassen ab 11.25 Uhr;11/09/2023; ;11/09/2023;;TRUE;; ;FALSE
